@relation jAudio

@attribute 'Spectral Centroid Overall Standard Deviation0' numeric
@attribute 'Spectral Rolloff Point Overall Standard Deviation0' numeric
@attribute 'Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Compactness Overall Standard Deviation0' numeric
@attribute 'Spectral Variability Overall Standard Deviation0' numeric
@attribute 'Root Mean Square Overall Standard Deviation0' numeric
@attribute 'Fraction Of Low Energy Windows Overall Standard Deviation0' numeric
@attribute 'Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Strongest Beat Overall Standard Deviation0' numeric
@attribute 'Beat Sum Overall Standard Deviation0' numeric
@attribute 'Strength Of Strongest Beat Overall Standard Deviation0' numeric
@attribute 'LPC Overall Standard Deviation0' numeric
@attribute 'LPC Overall Standard Deviation1' numeric
@attribute 'LPC Overall Standard Deviation2' numeric
@attribute 'LPC Overall Standard Deviation3' numeric
@attribute 'LPC Overall Standard Deviation4' numeric
@attribute 'LPC Overall Standard Deviation5' numeric
@attribute 'LPC Overall Standard Deviation6' numeric
@attribute 'LPC Overall Standard Deviation7' numeric
@attribute 'LPC Overall Standard Deviation8' numeric
@attribute 'LPC Overall Standard Deviation9' numeric
@attribute 'Method of Moments Overall Standard Deviation0' numeric
@attribute 'Method of Moments Overall Standard Deviation1' numeric
@attribute 'Method of Moments Overall Standard Deviation2' numeric
@attribute 'Method of Moments Overall Standard Deviation3' numeric
@attribute 'Method of Moments Overall Standard Deviation4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation0' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation1' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation2' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation3' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation5' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation6' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation7' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation8' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation9' numeric
@attribute 'Spectral Centroid Overall Average0' numeric
@attribute 'Spectral Rolloff Point Overall Average0' numeric
@attribute 'Spectral Flux Overall Average0' numeric
@attribute 'Compactness Overall Average0' numeric
@attribute 'Spectral Variability Overall Average0' numeric
@attribute 'Root Mean Square Overall Average0' numeric
@attribute 'Fraction Of Low Energy Windows Overall Average0' numeric
@attribute 'Zero Crossings Overall Average0' numeric
@attribute 'Strongest Beat Overall Average0' numeric
@attribute 'Beat Sum Overall Average0' numeric
@attribute 'Strength Of Strongest Beat Overall Average0' numeric
@attribute 'LPC Overall Average0' numeric
@attribute 'LPC Overall Average1' numeric
@attribute 'LPC Overall Average2' numeric
@attribute 'LPC Overall Average3' numeric
@attribute 'LPC Overall Average4' numeric
@attribute 'LPC Overall Average5' numeric
@attribute 'LPC Overall Average6' numeric
@attribute 'LPC Overall Average7' numeric
@attribute 'LPC Overall Average8' numeric
@attribute 'LPC Overall Average9' numeric
@attribute 'Method of Moments Overall Average0' numeric
@attribute 'Method of Moments Overall Average1' numeric
@attribute 'Method of Moments Overall Average2' numeric
@attribute 'Method of Moments Overall Average3' numeric
@attribute 'Method of Moments Overall Average4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average0' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average1' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average2' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average3' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average5' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average6' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average7' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average8' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average9' numeric
@attribute NewNominal {target,other}

@data
55.51,0.1937,0.000015,153.6,0.000096,0.004773,0,109.6,0,0,0,0.4981,0.3567,0.2598,0.1289,0.08423,0.08275,0.09232,0.08027,0.08132,0,0.009692,18.78,984.2,184600,10170000,0.07891,111,3178,43660,1223000,33970000,31560000,11130000,310500000,671600000000,65.79,0.5081,0.000008,1525,0.00016,0.006501,0,152,0,0,0,-0.3353,-0.2144,-0.4027,-0.1433,-0.194,-0.1202,-0.1588,-0.07729,-0.09895,0,0.02284,120.4,6179,-32140,72580000,0.2338,191.5,5354,-47650,-1350000,-37700000,27230000,12210000,343600000,604100000000,target
38.75,0.1373,0.000175,188.8,0.000284,0.01018,0,61.77,0,0,0,0.3036,0.3492,0.1368,0.1676,0.135,0.1076,0.07894,0.08352,0.08627,0,0.02708,14.04,1392,110400,17030000,0.1227,111.5,2789,130400,3356000,86010000,235200000,30680000,787600000,4082000000000,52.58,0.5071,0.000048,1514,0.000198,0.007626,0,117.3,0,0,0,-0.4758,-0.2407,-0.2658,-0.1529,-0.1968,-0.1553,-0.1363,-0.09462,-0.1034,0,0.02806,115.8,6103,34490,69560000,0.2336,586.9,15440,-353000,-9297000,-243300000,440700000,86080000,2261000000,7943000000000,target
42.52,0.1722,0.000004,136,0.000044,0.003596,0,85.87,0,0,0,0.3701,0.2342,0.1957,0.0991,0.07722,0.06601,0.04914,0.06785,0.05839,0,0.006231,15.06,698,153800,10520000,0.04725,112,2738,216700,5480000,138100000,635700000,50110000,1264000000,1.055E13,49.89,0.4593,0.000002,1531,0.000129,0.005132,0,118.5,0,0,0,-0.4844,-0.3149,-0.3341,-0.1855,-0.1816,-0.1368,-0.1262,-0.1134,-0.08906,0,0.01969,115.7,6445,11580,74550000,0.1914,970.5,25330,-948100,-24770000,-644800000,1882000000,227500000,5934000000,3.33E13,target
30.97,0.172,0.00001,151.6,0.000062,0.004097,0,72.05,0,0,0,0.2994,0.2727,0.211,0.1322,0.07905,0.08472,0.08288,0.0715,0.07393,0,0.006595,10.98,863.7,124800,11120000,0.02839,110.6,2865,299600,7740000,199700000,1224000000,69980000,1808000000,2.1E13,50.36,0.4803,0.000003,1520,0.000132,0.005258,0,130.2,0,0,0,-0.4717,-0.2792,-0.3476,-0.161,-0.176,-0.1513,-0.1258,-0.09289,-0.1174,0,0.02038,114.2,6306,19310,71240000,0.1969,1357,34790,-1844000,-47360000,-1213000000,5058000000,433500000,11120000000,8.529E13,target
64.37,0.1754,0.000487,160.1,0.000491,0.01896,0,121.7,0,0,0,0.5441,0.4762,0.2801,0.1739,0.1457,0.1114,0.107,0.1134,0.09799,0,0.05209,23.46,1603,190300,15080000,0.339,112.3,2932,389600,10170000,265300000,2035000000,92600000,2416000000,3.614E13,82.35,0.5587,0.000136,1529,0.000312,0.01245,0,181.1,0,0,0,-0.2142,-0.08585,-0.4083,-0.1335,-0.2332,-0.1056,-0.1669,-0.05211,-0.1298,0,0.03782,127.3,5664,-63720,68140000,0.372,1742,45310,-3037000,-79060000,-2053000000,10650000000,722800000,18790000000,1.872E14,target
52.3,0.1494,0.000116,168,0.000273,0.01099,0,97.05,0,0,0,0.4446,0.4793,0.2196,0.1122,0.1177,0.1157,0.09052,0.09962,0.097,0,0.02309,18.2,1504,138600,14370000,0.1885,112.8,3129,477700,12920000,349500000,3042000000,118000000,3191000000,5.868E13,68.59,0.5473,0.000042,1483,0.000232,0.009635,0,155.5,0,0,0,-0.3229,-0.09676,-0.348,-0.1869,-0.2139,-0.1062,-0.1451,-0.07692,-0.1015,0,0.03112,120.8,5742,-4546,65930000,0.3242,2119,56130,-4489000,-119000000,-3150000000,19100000000,1080000000,28610000000,3.552E14,target
58.68,0.1668,0.000017,143,0.000105,0.005357,0,112.6,0,0,0,0.5056,0.3853,0.2588,0.1343,0.08715,0.06947,0.07907,0.08208,0.09194,0,0.0109,21.53,955.1,203700,12960000,0.08761,109.6,3189,548300,15260000,423900000,4120000000,136500000,3795000000,8.469E13,69.6,0.5296,0.000009,1536,0.000168,0.007007,0,155.7,0,0,0,-0.3164,-0.1593,-0.407,-0.18,-0.1845,-0.1352,-0.1439,-0.08505,-0.1162,0,0.02412,121.7,6033,-40960,72090000,0.2476,2503,66300,-6260000,-166000000,-4394000000,31410000000,1505000000,39870000000,5.845E14,target
20.11,0.1271,0.000002,125.1,0.000021,0.003136,0,48.54,0,0,0,0.1773,0.3063,0.1364,0.1399,0.1089,0.06732,0.0644,0.06028,0.06037,0,0.003195,6.56,705.6,74920,8442000,0.02261,111.7,2719,644900,16400000,416000000,5592000000,148700000,3775000000,9.556E13,40.92,0.4242,0.000001,1511,0.00012,0.004773,0,105.7,0,0,0,-0.569,-0.2667,-0.31,-0.2236,-0.1843,-0.1444,-0.1357,-0.09631,-0.09952,0,0.01864,110.4,6306,60390,71000000,0.1837,2891,76610,-8349000,-221400000,-5863000000,48350000000,2009000000,53240000000,8.994E14,target
12.89,0.09421,0,144.2,0.000006,0.00302,0,27.46,0,0,0,0.07676,0.07568,0.07061,0.05369,0.04662,0.04913,0.04111,0.04768,0.04076,0,0.001998,4.945,251.9,52000,3802000,0.005767,111.1,2695,727000,18360000,462500000,7141000000,166000000,4182000000,1.192E14,33.56,0.3889,0.000001,1533,0.000114,0.004388,0,85.31,0,0,0,-0.6398,-0.365,-0.2697,-0.1959,-0.1726,-0.1442,-0.1207,-0.1094,-0.09493,0,0.01758,109.3,6515,74860,73370000,0.1748,3274,85910,-10710000,-281200000,-7373000000,70210000000,2550000000,66920000000,1.268E15,target
58.15,0.2107,0.000015,108.3,0.000081,0.004068,0,111.3,0,0,0,0.4855,0.3369,0.2325,0.1283,0.1049,0.09942,0.0831,0.07934,0.07309,0,0.006827,20.29,1021,207100,20960000,0.0541,111.1,3152,812400,22160000,603700000,8919000000,200300000,5458000000,1.736E14,70.52,0.5588,0.000007,1513,0.000152,0.006064,0,164.6,0,0,0,-0.3077,-0.2989,-0.3665,-0.1659,-0.1965,-0.139,-0.1491,-0.08493,-0.09762,0,0.02199,121.8,6422,-49340,77200000,0.219,3658,95770,-13370000,-350300000,-9165000000,97940000000,3177000000,83180000000,1.758E15,target
